lon,lat
-73.737914,42.670229
-73.74038900000002,42.673833
-73.750413,42.664479
-73.754621,42.660829
-73.754072,42.657129
-73.75386400000002,42.655079
-73.798726,42.683812
-73.770845,42.680361
-73.863199,42.706253
-73.79168299999998,42.677078
-73.796454,42.673178
-73.799154,42.67417800000001
-73.803397,42.674278
-73.816895,42.677978
-73.828396,42.692101
-73.777937,42.666579
-73.78099499999998,42.671129
-73.784846,42.672428
-73.78706600000002,42.672128
-73.783546,42.666279
-73.787526,42.669778
-73.789823,42.669878
-73.769948,42.663179
-73.772601,42.664479
-73.776234,42.665712
-73.77075400000003,42.672929
-73.759526,42.665579
-73.76125,42.664329
-73.764198,42.664179
-73.768304,42.667629
-73.762606,42.658579
-73.765164,42.659879
-73.76787900000002,42.661379
-73.750173,42.652379
-73.7635,42.655029
-73.76537900000002,42.655729
-73.772471,42.661079
-73.777794,42.660912
-73.779777,42.658029
-73.78391500000002,42.657529
-73.785377,42.653912
-73.783679,42.661129
-73.790622,42.661278
-73.791072,42.655129
-73.794389,42.656829
-73.79441,42.662678
-73.799367,42.658529
-73.804315,42.660528
-73.798583,42.66582800000001
-73.80451500000002,42.668328
-73.80944000000002,42.663831
-73.809763,42.653245
-73.816946,42.658028
-73.82905500000003,42.644046
-73.81425,42.672778
-73.822874,42.666542
-73.82561899999997,42.672328
-73.822854,42.67462800000001
-73.78684100000002,42.651879
-73.790188,42.652079
-73.797765,42.651529
-73.797388,42.653879
-73.791676,42.645379
-73.799162,42.648529
-73.79557,42.642576
-73.7813,42.642129
-73.780372,42.640529
-73.780335,42.637396
-73.78080200000002,42.631742
-73.787927,42.63704600000001
-73.78678199999997,42.640229
-73.76981500000002,42.652329
-73.774087,42.648713
-73.774813,42.654279
-73.766297,42.652279
-73.766215,42.649229
-73.761211,42.644729
-73.76013499999998,42.645679
-73.763356,42.64253
-73.754307,42.640279
-73.753519,42.64453
-73.75547900000002,42.642179
-73.759214,42.639729
-73.761122,42.638279
-73.773997,42.641353
-73.769583,42.642246
-73.766417,42.63853
-73.766663,42.628012
-73.68893,42.774101
-73.688535,42.769427
-73.692233,42.766977
-73.698752,42.767544
-73.702667,42.765361
-73.701335,42.768177
-73.703285,42.771727
-73.70929699999998,42.783027
-73.699686,42.775278
-73.707483,42.77727700000001
-73.708189,42.779577
-73.725338,42.789031
-73.718329,42.782211
-73.709091,42.772727
-73.713334,42.771127
-73.717674,42.775527
-73.72734799999998,42.783177
-73.690719,42.74352800000001
-73.694703,42.745578
-73.694732,42.741822
-73.70073000000002,42.734628
-73.701973,42.731928
-73.701018,42.72917800000001
-73.703908,42.726645
-73.70267,42.723928
-73.708012,42.735128
-73.708112,42.733828
-73.709655,42.723728
-73.705648,42.714778
-73.708512,42.709478
-73.71200999999998,42.710528
-73.770048,42.745228
-73.784166,42.762777
-73.770364,42.772128
-73.734256,42.75853
-73.730177,42.784328
-73.746335,42.73947800000001
-73.755995,42.743078
-73.7463,42.749497
-73.710213,42.744463
-73.712264,42.717762
-73.744539,42.70244
-73.754793,42.729328
-73.732636,42.716028
-73.719415,42.699937
-73.735561,42.680691
-73.74198299999998,42.691688
-73.714123,42.68895
-73.812866,42.740915
-73.77505699999998,42.694265
-73.789748,42.70737800000001
-73.76080300000002,42.696628
-73.76665,42.727678
-73.777564,42.717578
-73.864429,42.748727
-73.856223,42.742427
-73.860793,42.737225
-73.86827,42.74617
-73.88029399999998,42.76022800000001
-73.888623,42.760924
-73.882696,42.738059
-73.850101,42.76194
-73.836037,42.768496
-73.833067,42.71004600000001
-73.846908,42.721727
-73.840512,42.729391
-73.833832,42.72697700000001
-73.824022,42.722178
-73.805837,42.705278
-73.811215,42.693728
-73.819316,42.701228
-73.798745,42.697878
-73.787152,42.691045
-73.795281,42.690578
-73.80216899999998,42.69367800000001
-73.834698,42.667487
-73.837766,42.658422
-73.834262,42.625966
-73.85986,42.644578
-73.812821,42.625446
-73.813098,42.618429
-73.808051,42.611014
-73.783056,42.617079
-73.837629,42.622629
-73.850001,42.620579
-73.866244,42.626632
-73.870593,42.61252800000001
-73.827402,42.615529
-73.829652,42.610241
-73.83742,42.613379
-73.844459,42.615529
-73.845385,42.603551
-73.794285,42.534534
-73.77953199999997,42.57268
-73.80970699999997,42.592575
-73.835011,42.532407
-73.838523,42.568659
-73.822583,42.495023
-73.939944,42.502974
-73.807627,42.472212
-73.817392,42.483519
-73.814723,42.470627
-73.96146,42.640203
-73.88584399999998,42.650904
-73.921257,42.574262
-73.961662,42.575599
-73.89065500000002,42.604446
-73.934027,42.654118
-73.926337,42.645845
-73.942613,42.72172800000001
-73.94765,42.754626
-73.97639000000002,42.736342
-73.90149100000002,42.711828
-73.922167,42.719848
-73.929952,42.747549
-73.930973,42.730578
-73.874866,42.724344
-73.84131,42.686802
-73.871038,42.696178
-73.881496,42.698127
-73.854664,42.682179
-73.838132,42.673152
-73.862145,42.671978
-73.88625,42.689063
-73.87248000000002,42.68982800000001
-73.879131,42.691778
-73.902919,42.686505
-73.926275,42.673019
-73.938649,42.708977
-74.033487,42.705326
-74.03961600000002,42.700209
-73.974614,42.690223
-74.004174,42.712527
-74.116222,42.709633
-74.095729,42.661528
-74.065699,42.609862
-74.178327,42.575295
-74.167912,42.531243
-74.161038,42.484088
-74.182773,42.441732
-74.048212,42.521368
-74.036629,42.465343
-78.308323,42.235083
-77.777288,42.441336
-77.87643299999998,42.435966
-77.792835,42.361877
-78.010548,42.470216
-78.121042,42.366741
-78.016047,42.347998
-78.104166,42.47094
-78.221522,42.483353
-78.184435,42.407822
-78.151253,42.320474
-78.24377700000002,42.379628
-78.24705,42.306153
-78.206684,42.242576
-78.285081,42.213848
-78.273223,42.217662
-78.200437,42.196198
-78.22326,42.153043
-78.015683,42.242545
-78.06577,42.208238
-77.93865500000003,42.182122
-77.951128,42.13216
